Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",470.000000,-130.206250,180.000000,bottom
"C2","100n","C_0805_2012Metric",489.250000,-119.750000,0.000000,bottom
"C3","100n","C_0805_2012Metric",470.000000,-119.750000,180.000000,bottom
"C4","100n","C_0805_2012Metric",470.000000,-128.000000,180.000000,bottom
"C5","100n","C_0805_2012Metric",474.750000,-114.250000,90.000000,bottom
"C6","100n","C_0805_2012Metric",483.250000,-133.000000,-90.000000,bottom
"C7","18pF","C_0805_2012Metric",489.250000,-124.500000,180.000000,bottom
"C8","18pF","C_0805_2012Metric",489.250000,-122.250000,180.000000,bottom
"C9","100n","C_0805_2012Metric",442.000000,-116.750000,90.000000,bottom
"C10","100n","C_0805_2012Metric",439.500000,-116.750000,90.000000,bottom
"C11","1u","C_0805_2012Metric",480.500000,-114.250000,90.000000,bottom
"C12","100n","C_0805_2012Metric",418.491880,-124.107352,90.000000,bottom
"C13","10u","C_1210_3225Metric",456.500000,-110.500000,-90.000000,bottom
"C14","100n","C_0805_2012Metric",399.463880,-124.105352,90.000000,bottom
"C15","100n","C_0805_2012Metric",380.391880,-124.107352,90.000000,bottom
"C16","100n","C_0805_2012Metric",356.592080,-124.122552,90.000000,bottom
"C17","100n","C_0805_2012Metric",337.542080,-124.122552,90.000000,bottom
"C18","100n","C_0805_2012Metric",318.492080,-124.122552,90.000000,bottom
"C19","100n","C_0805_2012Metric",299.442080,-124.122552,90.000000,bottom
"C20","100n","C_0805_2012Metric",270.867080,-124.122552,90.000000,bottom
"C21","100n","C_0805_2012Metric",251.817080,-124.122552,90.000000,bottom
"C22","100n","C_0805_2012Metric",232.767080,-124.122552,90.000000,bottom
"C23","100n","C_0805_2012Metric",213.717080,-124.122552,90.000000,bottom
"C24","100n","C_0805_2012Metric",185.142080,-124.122552,90.000000,bottom
"C25","100n","C_0805_2012Metric",166.092080,-124.122552,90.000000,bottom
"C26","100n","C_0805_2012Metric",147.042080,-124.122552,90.000000,bottom
"C27","100n","C_0805_2012Metric",127.992080,-124.122552,90.000000,bottom
"C28","10u","C_1210_3225Metric",144.750000,-132.500000,0.000000,bottom
"C29","100n","C_0805_2012Metric",89.892080,-124.122552,90.000000,bottom
